"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"RGB_LED1,RGB_LED2,RGB_LED3,RGB_LED4,RGB_LED5,RGB_LED6,RGB_LED7,RGB_LED8,RGB_LED9,RGB_LED10,RGB_LED11,RGB_LED12,RGB_LED13,RGB_LED14,RGB_LED15,RGB_LED16,RGB_LED17,RGB_LED18,RGB_LED19,RGB_LED20,RGB_LED21,RGB_LED22,RGB_LED23,RGB_LED24,RGB_LED25,RGB_LED26,RGB_LED27,RGB_LED28,RGB_LED29,RGB_LED30,RGB_LED31,RGB_LED32,RGB_LED33,RGB_LED34,RGB_LED35,RGB_LED36,RGB_LED37,RGB_LED38,RGB_LED39,RGB_LED40,RGB_LED41,RGB_LED42,RGB_LED43,RGB_LED44,RGB_LED45,RGB_LED46,RGB_LED47,RGB_LED48,RGB_LED49,RGB_LED50,RGB_LED51,RGB_LED52,RGB_LED53,RGB_LED54,RGB_LED55,RGB_LED56,RGB_LED57,RGB_LED58,RGB_LED59,RGB_LED60,RGB_LED61,RGB_LED62,RGB_LED63,RGB_LED64,RGB_LED65,RGB_LED66,RGB_LED67,RGB_LED68,RGB_LED69,RGB_LED70,RGB_LED71,RGB_LED72,RGB_LED73,RGB_LED74,RGB_LED75,RGB_LED76,RGB_LED77,RGB_LED78,RGB_LED79,RGB_LED80,RGB_LED81,RGB_LED82,RGB_LED83,RGB_LED84,RGB_LED85,RGB_LED86,RGB_LED87,RGB_LED88,RGB_LED89,RGB_LED90,RGB_LED91,RGB_LED92,RGB_LED93,RGB_LED94,RGB_LED95,RGB_LED96,RGB_LED97,RGB_LED98,RGB_LED99,RGB_LED100,RGB_LED101,RGB_LED102,RGB_LED103,RGB_LED104,RGB_LED105,RGB_LED106,RGB_LED107,RGB_LED108,RGB_LED109,RGB_LED110,RGB_LED111,RGB_LED112,RGB_LED113,RGB_LED114,RGB_LED115,RGB_LED116,RGB_LED117,RGB_LED118,RGB_LED119,RGB_LED120,RGB_LED121,RGB_LED122,RGB_LED123,RGB_LED124,RGB_LED125,RGB_LED126,RGB_LED132,RGB_LED133,RGB_LED134,RGB_LED135,RGB_LED136,RGB_LED137","132","LTST-C19HE1WT","","","","digikey-footprints:LED_Dual0603","http://optoelectronics.liteon.com/upload/download/DS22-2008-0044/LTST-C19HE1WT.pdf"
"U1","1","ATmega165PA-A","","","","Package_QFP:TQFP-64_14x14mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-8285-8-bit-avr-microcontroller-atmega165a_pa_325a_pa_3250a_pa_645a_p_6450a_p_datasheet.pdf"
